record_id,article_unit,scope,year,metric_key,metric_label,value,value_text,unit,source_title,source_url,source_locator,source_note
A1-DECL-2019,A1,declaration_trend,2019,declarations_assessed,Declarations assessed,94,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2019
A1-DECL-2020,A1,declaration_trend,2020,declarations_assessed,Declarations assessed,126,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2020
A1-DECL-2021,A1,declaration_trend,2021,declarations_assessed,Declarations assessed,164,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2021
A1-DECL-2022,A1,declaration_trend,2022,declarations_assessed,Declarations assessed,154,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2022
A1-DECL-2023,A1,declaration_trend,2023,declarations_assessed,Declarations assessed,109,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2023
A1-DECL-2024,A1,declaration_trend,2024,declarations_assessed,Declarations assessed,116,,declarations,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Table I-1 Covered Transaction Declarations 2018-2024,Covered transaction declarations trend row for 2024
A1-FUNNEL-001,A1,filing_funnel,2024,notices_reviewed,Notices reviewed,209,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-B Information Regarding 2024 Covered Transaction Notices and Table I-5,Written notices accepted as covered transactions in 2024
A1-FUNNEL-002,A1,filing_funnel,2024,notices_investigated,Notices investigated,116,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-B Information Regarding 2024 Covered Transaction Notices and Table I-5,Notices proceeding to investigation in 2024
A1-FUNNEL-003,A1,filing_funnel,2024,notices_withdrawn_after_investigation_began,Notices withdrawn after investigation began,49,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-E Withdrawn Notices and Table I-5,All 2024 withdrawals occurred after investigation began
A1-FUNNEL-004,A1,filing_funnel,2024,withdrawn_notices_refiled,Withdrawn notices refiled,42,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-E Withdrawn Notices,Withdrawn notices refiled in 2024 or 2025
A1-FUNNEL-005,A1,filing_funnel,2024,notices_rejected,Notices rejected,1,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-B Information Regarding 2024 Covered Transaction Notices,Rejected notice count for 2024
A1-FUNNEL-006,A1,filing_funnel,2024,presidential_decisions,Presidential decisions,2,,transactions,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-B Information Regarding 2024 Covered Transaction Notices and Table I-5,Presidential decisions regarding reviews initiated in 2024
A1-FUNNEL-007,A1,filing_funnel,2024,notices_with_mitigation_measures_or_conditions,Notices with mitigation measures or conditions,25,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-F Mitigation Measures and Conditions,Mitigation measures or conditions adopted in 2024
A1-FUNNEL-008,A1,filing_funnel,2024,notices_concluded_through_mitigation_agreement,Notices concluded through mitigation agreement,16,,notices,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-F Mitigation Measures and Conditions,Action concluded after entering mitigation agreements
A1-NN-001,A1,non_notified,2024,potential_non_notified_transactions_considered,Potential non-notified transactions considered,,thousands,potential transactions,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,Report gives this as thousands rather than a precise public count
A1-NN-002,A1,non_notified,2024,non_notified_transactions_investigated,Non-notified transactions investigated,98,,transactions,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,Further investigated from the non-notified population
A1-NN-003,A1,non_notified,2024,official_inquiries_opened,Official inquiries opened,76,,inquiries,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,Treasury formally opened official inquiries
A1-NN-004,A1,non_notified,2024,filing_requests,Filing requests,12,,requests,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,Formal filing requests for non-notified transactions
A1-NN-005,A1,non_notified,2024,voluntary_filings_after_outreach,Voluntary filings after outreach,5,,filings,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,Parties filed voluntarily after non-notified outreach
A1-NN-006,A1,non_notified,2024,prohibited_by_presidential_order,Prohibited by presidential order,1,,transaction,CFIUS Annual Report to Congress for CY 2024,https://home.treasury.gov/system/files/206/2024-CFIUS-Annual-Report.pdf,Section I-I Non-Notified Transactions,One non-notified transaction was prohibited by presidential order
